Section,TP,FP,FN,TN,Precision,Recall,F1-Score,Specificity,Support
101,113,0,0,1387,1.000,1.000,1.000,1.000,113
304,53,0,0,1447,1.000,1.000,1.000,1.000,53
308,60,0,0,1440,1.000,1.000,1.000,1.000,60
310(2),97,0,0,1403,1.000,1.000,1.000,1.000,97
311,97,0,0,1403,1.000,1.000,1.000,1.000,97
312,53,0,0,1447,1.000,1.000,1.000,1.000,53
316(2),76,0,0,1424,1.000,1.000,1.000,1.000,76
318,315,0,0,1185,1.000,1.000,1.000,1.000,315
319,124,0,0,1376,1.000,1.000,1.000,1.000,124
336,96,0,0,1404,1.000,1.000,1.000,1.000,96
338,96,0,0,1404,1.000,1.000,1.000,1.000,96
340,96,0,0,1404,1.000,1.000,1.000,1.000,96
351,60,0,0,1440,1.000,1.000,1.000,1.000,60
352,26,0,0,1474,1.000,1.000,1.000,1.000,26
61(1),75,0,0,1425,1.000,1.000,1.000,1.000,75
61(2),75,0,0,1425,1.000,1.000,1.000,1.000,75
66,25,0,0,1475,1.000,1.000,1.000,1.000,25
68,18,0,0,1482,1.000,1.000,1.000,1.000,18
69,15,0,0,1485,1.000,1.000,1.000,1.000,15
70(1),49,0,0,1451,1.000,1.000,1.000,1.000,49
