section,precision,recall,f1,accuracy,support,tn,fp,fn,tp
101,1.0,1.0,1.0,1.0,113,1387,0,0,113
3(5),1.0,1.0,1.0,1.0,239,1261,0,0,239
305,1.0,1.0,1.0,1.0,49,1451,0,0,49
303(2),1.0,1.0,1.0,1.0,94,1406,0,0,94
304,1.0,1.0,1.0,1.0,53,1447,0,0,53
103(1),1.0,1.0,1.0,1.0,191,1309,0,0,191
103(2),1.0,1.0,1.0,1.0,19,1481,0,0,19
108,1.0,1.0,1.0,1.0,34,1466,0,0,34
109,1.0,1.0,1.0,1.0,82,1418,0,0,82
111,1.0,1.0,1.0,1.0,29,1471,0,0,29
117(4),1.0,1.0,1.0,1.0,35,1465,0,0,35
124(1),1.0,1.0,1.0,1.0,74,1426,0,0,74
85,1.0,1.0,1.0,1.0,151,1349,0,0,151
137(1)(b),1.0,1.0,1.0,1.0,40,1460,0,0,40
118(2),1.0,1.0,1.0,1.0,74,1426,0,0,74
86,1.0,1.0,1.0,1.0,151,1349,0,0,151
140(4),1.0,1.0,1.0,1.0,18,1482,0,0,18
140(1),1.0,1.0,1.0,1.0,17,1483,0,0,17
140(2),1.0,1.0,1.0,1.0,18,1482,0,0,18
140(3),1.0,1.0,1.0,1.0,35,1465,0,0,35
144,1.0,1.0,1.0,1.0,22,1478,0,0,22
143,1.0,1.0,1.0,1.0,22,1478,0,0,22
102,1.0,1.0,1.0,1.0,25,1475,0,0,25
137(2),1.0,1.0,1.0,1.0,97,1403,0,0,97
80,1.0,1.0,1.0,1.0,20,1480,0,0,20
340,1.0,1.0,1.0,1.0,96,1404,0,0,96
308,1.0,1.0,1.0,1.0,60,1440,0,0,60
310(2),1.0,1.0,1.0,1.0,97,1403,0,0,97
311,1.0,1.0,1.0,1.0,97,1403,0,0,97
312,1.0,1.0,1.0,1.0,53,1447,0,0,53
316(2),1.0,1.0,1.0,1.0,76,1424,0,0,76
78,1.0,1.0,1.0,1.0,34,1466,0,0,34
319,1.0,1.0,1.0,1.0,124,1376,0,0,124
336,1.0,1.0,1.0,1.0,96,1404,0,0,96
338,1.0,1.0,1.0,1.0,96,1404,0,0,96
318,1.0,1.0,1.0,1.0,315,1185,0,0,315
351,1.0,1.0,1.0,1.0,60,1440,0,0,60
352,1.0,1.0,1.0,1.0,26,1474,0,0,26
61(1),1.0,1.0,1.0,1.0,75,1425,0,0,75
61(2),1.0,1.0,1.0,1.0,75,1425,0,0,75
66,1.0,1.0,1.0,1.0,25,1475,0,0,25
68,1.0,1.0,1.0,1.0,18,1482,0,0,18
69,1.0,1.0,1.0,1.0,15,1485,0,0,15
70(1),1.0,1.0,1.0,1.0,49,1451,0,0,49
70(2),1.0,1.0,1.0,1.0,25,1475,0,0,25
74,1.0,1.0,1.0,1.0,19,1481,0,0,19
64,1.0,0.9827586206896551,0.9913043478260869,0.9993333333333333,58,1442,0,1,57
306,0.9714285714285714,1.0,0.9855072463768115,0.9993333333333333,34,1465,1,0,34
309(2),0.9714285714285714,1.0,0.9855072463768115,0.9993333333333333,34,1465,1,0,34
139,0.9565217391304348,1.0,0.9777777777777777,0.9993333333333333,22,1477,1,0,22
117(2),0.951048951048951,0.9855072463768116,0.9679715302491103,0.994,138,1355,7,2,136
104,0.9310344827586207,1.0,0.9642857142857143,0.9986666666666667,27,1471,2,0,27
117(3),0.8857142857142857,0.96875,0.9253731343283582,0.9933333333333333,64,1428,8,2,62
124(2),0.873015873015873,0.9649122807017544,0.9166666666666667,0.9933333333333333,57,1435,8,2,55
117(1),0.8321167883211679,0.8702290076335878,0.8507462686567164,0.9733333333333334,131,1346,23,17,114
65(1),0.64,1.0,0.7804878048780487,0.994,16,1475,9,0,16
118(1),0.5897435897435898,1.0,0.7419354838709677,0.9893333333333333,23,1461,16,0,23
